0,Passenger Plate Default,New Jersey,,,"Does not use the letter “O”, only the number zero “0”.",,,,,,,
Code Number,Plate Type Description,Plate Images,,,Processing Rules,,,,,,,
,,,,,Current being processed,Add Prefix to plate string?,Add Suffix to plate string?,Omit or Add any characters?,Verify State 2 alpha character abbreviation here,Is there any viewable plate type identifier on plate of any kind?,Is the plate type identified by Vehicle type as viewed in the image?,Is the plate all numeric?
0,Agriculture,,,,Y,N,N,N,Y,N,N,N
0,Air Force Reserve,1992-2013,Since 2014,,Y,N,N,N,Y,"Y - Combat Veteran, Military Award, Branch of Service, Facility, or Campaign appear on plate.",N,N
0,Air Force Retired,,,,Y,N,N,Y - Stacked Characters must be entered as seen.,Y,"Y - Combat Veteran, Military Award, Branch of Service, Facility, or Campaign appear on plate.",N,N
0,Air National Guard,,,,Y,N,N,N,Y,N,N,N
0,Airborne,,,,Y,N,N,Y - Stacked Characters must be entered as seen.,Y,"Y - Combat Veteran, Military Award, Branch of Service, Facility, or Campaign appear on plate.",N,N
0,Alpha Kappa Alpha Sorority,,,,Y,N,N,N,Y,Y- Sorority logo appears on left of plate; 'Service to All Mankind' below logo.,N,N
0,Amateur Radio,,,,Y,N,N,N,Y,N,N,N
0,Ambulance,,,,Y,N,N,N,Y,N,N,N
0,American Legion,,,,Y,N,N,N,Y,Y- Organization logo on left side of plate.,N,N
0,Amvets,1992-2013,Since 2014,,Y,N,N,N,Y,Y- Organization logo on left side of plate.,N,N
0,Animal Friendly,,,,Y,N,N,N,Y,N,N,N
0,Apportioned ,1996-2013,Since 2014,,Y,N,N,N,Y,Y - 'APPORTIONED' appears across bottom of plate.,N,N
0,Army National Guard,,,,Y,N,N,N,Y,N,N,N
0,Army Reserve,,,,Y,N,N,Y - Stacked Characters must be entered as seen.,Y,"Y - Combat Veteran, Military Award, Branch of Service, Facility, or Campaign appear on plate.",N,N
0,Assembly,,,,Y,N,N,N,Y,N,N,N
0,Atlantic City Expressway,,,,Y,N,N,N,Y,N,N,N
0,Autocycle,,,,Y,N,N,N,Y,N,N,N
0,Battleship,1996-2015,Since2016,,Y,N,N,N,Y,N,N,N
0,Baymen's Heritage,1998-2013,Since 2014,,Y,N,N,N,Y,N,N,N
0,Cabinet,,,,Y,N,N,N,Y,N,N,N
0,Chiropractor,,,,Y,N,N,N,Y,N,N,N
0,Choose Life,2010-2013,Since 2014,,Y,N,N,N,Y,Y- Organization logo on left side of plate; ' NJ CHOOSE LIFE' at bottom of plate.,N,N
0,Civil Air Patrol,,,,Y,N,N,Y - Stacked Characters must be entered as seen.,Y,"Y - Combat Veteran, Military Award, Branch of Service, Facility, or Campaign appear on plate.",N,N
0,Coast Guard Auxiliary,,,,Y,N,N,Y - Stacked Characters must be entered as seen.,Y,"Y - Combat Veteran, Military Award, Branch of Service, Facility, or Campaign appear on plate.",N,N
0,Coast Guard Reserve,,,,Y,N,N,Y - Stacked Characters must be entered as seen.,Y,"Y - Combat Veteran, Military Award, Branch of Service, Facility, or Campaign appear on plate.",N,N
